cds,sname,dname,cname,api,fle,pe
38684786089585,Mission Education Center,San Francisco Unified,San Francisco,401,97,1
33671730124313,Father's Heart Charter,Palm Springs Unified,Riverside,501,25,3
10767780122770,Anchor Academy Charter,Washington Unified,Fresno,507,71,5
11626536007553,Indian Valley Elementary,Stony Creek Joint Unified,Glenn,534,58,8
37683380124347,City Heights Preparatory Charter,San Diego Unified,San Diego,534,100,1
39686760117853,Dr. Lewis Dolphin Stallworth Sr. Charter,Stockton Unified,San Joaquin,541,53,3
55105530123752,Golden Lakes Charter,Tuolumne County Superintendent,Tuolumne,549,68,22
01612590110262,Rise Community,Oakland Unified,Alameda,555,97,3
49402536116958,Kid Street Learning Center Charter,Santa Rosa City Schools,Sonoma,559,100,1
54721406054373,Stone Corral Elementary,Stone Corral Elementary,Tulare,561,87,2
37754160122796,All Tribes Elementary Charter,Warner Unified,San Diego,564,100,7
54717956053839,Allensworth Elementary,Allensworth Elementary,Tulare,568,1,13
15637846010060,South Fork Elementary,South Fork Union,Kern,571,86,19
37683380120709,Pacific American Academy,San Diego Unified,San Diego,572,91,16
40687006042907,Carrisa Plains Elementary,Atascadero Unified,San Luis Obispo,573,92,8
39686760124958,TEAM Charter,Stockton Unified,San Joaquin,578,88,5
38684786089569,Chinese Education Center,San Francisco Unified,San Francisco,578,99,1
34674396034037,Leataata Floyd ELementary,Sacramento City Unified,Sacramento,579,94,5
43694274330726,Escuela Popular Accelerated Family Learn,East Side Union High,Santa Clara,581,80,2
01612590115576,Futures Elementary,Oakland Unified,Alameda,588,99,3
32103226117360,Portola Opportunity,Plumas County Office of Educat,Plumas,596,86,14
39686766042766,Taft Elementary,Stockton Unified,San Joaquin,599,86,12
34674476034540,Thomas Edison Language Institute,San Juan Unified,Sacramento,599,91,20
12629016007967,Hoopa Valley Elementary,Klamath-Trinity Joint Unified,Humboldt,603,92,13
01612596001978,Lafayette Elementary,Oakland Unified,Alameda,605,98,6
39686760111351,John C. Fremont Elementary,Stockton Unified,San Joaquin,606,97,6
37103710120493,Monarch,San Diego County Office of Edu,San Diego,614,40,2
36678760107730,ASA Charter,San Bernardino City Unified,San Bernardino,616,88,22
19647336119929,Xinaxcalmecac Academia Semillas del Pueb,Los Angeles Unified,Los Angeles,617,88,11
34674476034623,Howe Avenue Elementary,San Juan Unified,Sacramento,617,98,10
19647336018527,Florence Griffith Joyner Elementary,Los Angeles Unified,Los Angeles,618,100,2
07617966004972,Stege Elementary,West Contra Costa Unified,Contra Costa,619,100,5
54718456053888,Citrus South Tule Elementary,Citrus South Tule Elementary,Tulare,620,100,14
33736766032379,Sea View Elementary,Coachella Valley Unified,Riverside,622,83,6
39686766042790,Van Buren Elementary,Stockton Unified,San Joaquin,622,97,6
10101080125260,New Spirit Charter Academy,Fresno County Office of Educat,Fresno,623,64,37
07616480119586,R.A.A.M.P. Charter Academy,Antioch Unified,Contra Costa,623,87,15
23656076025175,Round Valley Elementary,Round Valley Unified,Mendocino,623,98,3
